name,std,dob,fname,address,ph
Sakthivel K.R 33,XII - C,01-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-111",7395922721
Sakthivel K.R 34,XII - C,02-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-112",7395922721
Sakthivel K.R 35,XII - C,03-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-113",7395922721
Sakthivel K.R 36,XII - C,04-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-114",7395922721
Sakthivel K.R 37,XII - C,05-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-115",7395922721
Sakthivel K.R 38,XII - C,06-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-116",7395922721
Sakthivel K.R 39,XII - C,07-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-117",7395922721
Sakthivel K.R 40,XII - C,08-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-118",7395922721
Sakthivel K.R 41,XII - C,09-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-119",7395922721
Sakthivel K.R 42,XII - C,10-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-120",7395922721
Sakthivel K.R 43,XII - C,11-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-121",7395922721
Sakthivel K.R 44,XII - C,12-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-122",7395922721
Sakthivel K.R 45,XII - C,13-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-123",7395922721
Sakthivel K.R 46,XII - C,14-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-124",7395922721
Sakthivel K.R 47,XII - C,15-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-125",7395922721
Sakthivel K.R 48,XII - C,16-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-126",7395922721
Sakthivel K.R 49,XII - C,17-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-127",7395922721
Sakthivel K.R 50,XII - C,18-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-128",7395922721
Sakthivel K.R 51,XII - C,19-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-129",7395922721
Sakthivel K.R 52,XII - C,20-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-130",7395922721
Sakthivel K.R 53,XII - C,21-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-131",7395922721
Sakthivel K.R 54,XII - C,22-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-132",7395922721
Sakthivel K.R 55,XII - C,23-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-133",7395922721
Sakthivel K.R 56,XII - C,24-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-134",7395922721
Sakthivel K.R 57,XII - C,25-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-135",7395922721
Sakthivel K.R 58,XII - C,26-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-136",7395922721
Sakthivel K.R 59,XII - C,27-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-137",7395922721
Sakthivel K.R 60,XII - C,28-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-138",7395922721
Sakthivel K.R 61,XII - C,29-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-139",7395922721
Sakthivel K.R 62,XII - C,30-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-140",7395922721
Sakthivel K.R 63,XII - C,31-12-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-141",7395922721
Sakthivel K.R 64,XII - C,01-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-142",7395922721
Sakthivel K.R 65,XII - C,02-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-143",7395922721
Sakthivel K.R 66,XII - C,03-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-144",7395922721
Sakthivel K.R 67,XII - C,04-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-145",7395922721
Sakthivel K.R 68,XII - C,05-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-146",7395922721
Sakthivel K.R 69,XII - C,06-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-147",7395922721
Sakthivel K.R 70,XII - C,07-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-148",7395922721
Sakthivel K.R 71,XII - C,08-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-149",7395922721
Sakthivel K.R 72,XII - C,09-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-150",7395922721
Sakthivel K.R 73,XII - C,10-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-151",7395922721
Sakthivel K.R 74,XII - C,11-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-152",7395922721
Sakthivel K.R 75,XII - C,12-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-153",7395922721
Sakthivel K.R 76,XII - C,13-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-154",7395922721
Sakthivel K.R 77,XII - C,14-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-155",7395922721
Sakthivel K.R 78,XII - C,15-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-156",7395922721
Sakthivel K.R 79,XII - C,16-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-157",7395922721
Sakthivel K.R 80,XII - C,17-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-158",7395922721
Sakthivel K.R 81,XII - C,18-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-159",7395922721
Sakthivel K.R 82,XII - C,19-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-160",7395922721
Sakthivel K.R 83,XII - C,20-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-161",7395922721
Sakthivel K.R 84,XII - C,21-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-162",7395922721
Sakthivel K.R 85,XII - C,22-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-163",7395922721
Sakthivel K.R 86,XII - C,23-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-164",7395922721
Sakthivel K.R 87,XII - C,24-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-165",7395922721
Sakthivel K.R 88,XII - C,25-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-166",7395922721
Sakthivel K.R 89,XII - C,26-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-167",7395922721
Sakthivel K.R 90,XII - C,27-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-168",7395922721
Sakthivel K.R 91,XII - C,28-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-169",7395922721
Sakthivel K.R 92,XII - C,29-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-170",7395922721
Sakthivel K.R 93,XII - C,30-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-171",7395922721
Sakthivel K.R 94,XII - C,31-01-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-172",7395922721
Sakthivel K.R 95,XII - C,01-02-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-173",7395922721
Sakthivel K.R 96,XII - C,02-02-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-174",7395922721
Sakthivel K.R 97,XII - C,03-02-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-175",7395922721
Sakthivel K.R 98,XII - C,04-02-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-176",7395922721
Sakthivel K.R 99,XII - C,05-02-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-177",7395922721
Sakthivel K.R 100,XII - C,06-02-2003,fathers name,"16, washermen ali lane st, sowcarpet, ch-178",7395922721
